nct_id,brief_title,overall_status,conditions,study_type
NCT01609790,Bevacizumab With or Without Trebananib in Treating Patients With Recurrent Brain Tumors,COMPLETED,Giant Cell Glioblastoma; Glioblastoma; Gliosarcoma; Oligodendroglioma; Recurrent Brain Neoplasm; Recurrent Glioblastoma,INTERVENTIONAL
NCT06640582,TIL Therapy Combined With Pembrolizumab for Advanced Brain Cancer Including Gliomas and Meningiomas,RECRUITING,"Brain Tumor; Brain Metastases; Brain Cancer; Glioma; Gliomas, Malignant; Glioblastoma; Meningioma",INTERVENTIONAL
NCT04922723,Radiation/Temozolomide and Immunotherapy With Daratumumab to Improve Antitumor Efficacy in Glioblastoma,ACTIVE_NOT_RECRUITING,Glioblastoma,INTERVENTIONAL
NCT04801147,Immunotherapy With Autologous Tumor Lysate-Loaded Dendritic Cells In Patients With Newly Diagnosed Glioblastoma Multiforme,COMPLETED,Glioblastoma,INTERVENTIONAL
NCT04729959,"Testing the Addition of the Immune Therapy Drugs, Tocilizumab and Atezolizumab, to Radiation Therapy for Recurrent Glioblastoma",ACTIVE_NOT_RECRUITING,"Diffuse Astrocytoma, IDH-Wildtype; Recurrent Glioblastoma",INTERVENTIONAL
NCT06047379,"Safety and Efficacy of NEO212 in Patients With Astrocytoma IDH-mutant, Glioblastoma IDH-wildtype or Brain Metastasis",RECRUITING,"Diffuse Astrocytoma, IDH-Mutant; Glioblastoma, IDH-wildtype; Brain Metastases, Adult; Cervical Cancer; Colorectal Cancer; Esophageal Cancer; Esophageal Squamous Cell Carcinoma; Gastric Cancer; Gastroesophageal Junction Adenocarcinoma; Head and Neck Squamous Cell Carcinoma; Melanoma; Merkel Cell Carcinoma; Microsatellite Instability-High Solid Malignant Tumor; Mismatch Repair Deficient Solid Malignant Tumor; Microsatellite Instability-High Colorectal Cancer; Mismatch Repair Deficient Colorectal Cancer; Non-small Cell Lung Cancer; Renal Cell Carcinoma; Small Cell Lung Cancer; Squamous Cell Carcinoma; Urothelial Carcinoma",INTERVENTIONAL
NCT02078648,"Safety and Efficacy Study of SL-701, a Glioma-Associated Antigen Vaccine To Treat Recurrent Glioblastoma Multiforme",COMPLETED,Adult Brain Glioblastoma; Glioblastoma Multiforme,INTERVENTIONAL
NCT07347210,Evaluation of UCPVax Vaccine +/- Pembrolizumab Combined With Standard Treatment as Adjuvant Therapy in Patients With Unmethylated MGMT Glioblastoma,NOT_YET_RECRUITING,Primary Glioblastoma,INTERVENTIONAL
NCT07620548,Laser Interstitial Thermal Therapy (LiTT) With Cemiplimab or Other Chemotherapy in Recurrent Glioblastomas,NOT_YET_RECRUITING,"Glioblastoma; Glioblastoma, IDH-wildtype; Glioblastoma IDH (Isocitrate Dehydrogenase) Wildtype",INTERVENTIONAL
NCT04015778,A Exploratory Study of Nivolumab Monotherapy or in Combination With Nab-paclitaxel and Carboplatin in Early Stage NSCLC in China,ACTIVE_NOT_RECRUITING,Non Small Cell Lung Cancer,INTERVENTIONAL
NCT01454596,CAR T Cell Receptor Immunotherapy Targeting EGFRvIII for Patients With Malignant Gliomas Expressing EGFRvIII,COMPLETED,Malignant Glioma; Glioblastoma; Brain Cancer; Gliosarcoma,INTERVENTIONAL
NCT02766699,"A Study to Evaluate the Safety, Tolerability and Immunogenicity of EGFR(V)-EDV-Dox in Subjects With Recurrent GBM",COMPLETED,"Glioblastoma; Astrocytoma, Grade IV",INTERVENTIONAL
NCT06157541,T Cells and Pembrolizumab for Recurrent and Newly Diagnosed Glioblastoma,ACTIVE_NOT_RECRUITING,"Glioblastoma Multiforme; Astrocytoma, Grade IV",INTERVENTIONAL
NCT02529072,Nivolumab With DC Vaccines for Recurrent Brain Tumors,COMPLETED,Malignant Glioma; Astrocytoma; Glioblastoma,INTERVENTIONAL
NCT00190424,Randomized Phase 2 With CpG-ODN in Malignant Glioblastoma,COMPLETED,Glioblastoma,INTERVENTIONAL
NCT06749925,Clinical Trial Assessing the Efficacy and Safety of Dendritic Cell-Based Immunotherapy for Glioblastoma,NOT_YET_RECRUITING,Glioblastoma,INTERVENTIONAL
NCT03344250,Phase I EGFR BATs in Newly Diagnosed Glioblastoma,COMPLETED,Glioblastoma; Glioblastoma Multiforme,INTERVENTIONAL
NCT03330197,A Study of Ad-RTS-hIL-12 + Veledimex in Pediatric Subjects With Brain Tumors Including DIPG,TERMINATED,Pediatric Brain Tumor; Diffuse Intrinsic Pontine Glioma,INTERVENTIONAL
NCT02968940,Avelumab With Hypofractionated Radiation Therapy in Adults With Isocitrate Dehydrogenase (IDH) Mutant Glioblastoma,COMPLETED,Glioblastoma,INTERVENTIONAL
NCT01082926,"Phase I Study of Cellular Immunotherapy for Recurrent/Refractory Malignant Glioma Using Intratumoral Infusions of GRm13Z40-2, An Allogeneic CD8+ Cytolitic T-Cell Line Genetically Modified to Express the IL 13-Zetakine and HyTK and to be Resistant to Glucocorticoids, in Combination With Interleukin-2",COMPLETED,Anaplastic Astrocytoma; Anaplastic Ependymoma; Anaplastic Meningioma; Anaplastic Oligodendroglioma; Brain Stem Glioma; Ependymoblastoma; Giant Cell Glioblastoma; Glioblastoma; Gliosarcoma; Grade III Meningioma; Meningeal Hemangiopericytoma; Mixed Glioma; Pineal Gland Astrocytoma; Brain Tumor,INTERVENTIONAL
