email,name,signup_date,country
contact@acme.com,Acme Corp,2023-05-01,US
hello@globex.com,Globex,2024-01-15,UK
info@initech.com,Initech,2024-09-30,CA
admin@hooli.com,Hooli,2022-11-12,US
ops@umbrella.io,Umbrella,2023-07-22,DE
it@stark.io,Stark Industries,2021-03-04,US
hello@wonka.com,Wonka Labs,2024-12-01,NL
billing@soylent.com,Soylent Inc,2023-02-18,US
dev@cyberdyne.io,Cyberdyne,2022-08-09,US
finance@vehement.com,Vehement Capital,2024-04-27,UK
contact@massivedynamic.io,Massive Dynamic,2021-06-15,US
admin@ingen.com,InGen,2024-10-05,CR
team@piedpiper.com,Pied Piper,2023-09-19,US
office@tyrell.com,Tyrell Corp,2022-01-30,US
ops@weyland.com,Weyland-Yutani,2021-12-11,JP
hr@aperture.io,Aperture Science,2023-04-03,US
research@blackmesa.com,Black Mesa,2024-11-20,US
contact@nakatomi.com,Nakatomi Trading,2023-10-25,JP
legal@oscorp.io,Oscorp,2022-05-14,US
ceo@wayne.com,Wayne Enterprises,2020-07-21,US
