nct_id,brief_title,official_title,overall_status,study_type,conditions,cache_status,last_fetched_at,full_payload_json
NCT04866433,Dapagliflozin in HFpEF With Diabetes,Dapagliflozin for Heart Failure With Preserved Ejection Fraction in Patients With Type 2 Diabetes: A Randomized Controlled Trial,Terminated,Interventional,Heart Failure With Preserved Ejection Fraction; Type 2 Diabetes Mellitus,full,2026-01-04T22:10:38Z,"{""protocolSection"": {""identificationModule"": {""nctId"": ""NCT04866433"", ""briefTitle"": ""Dapagliflozin in HFpEF With Diabetes"", ""officialTitle"": ""Dapagliflozin for Heart Failure With Preserved Ejection Fraction in Patients With Type 2 Diabetes: A Randomized Controlled Trial""}, ""statusModule"": {""overallStatus"": ""Terminated"", ""startDateStruct"": {""date"": ""2021-06-03""}, ""completionDateStruct"": {""date"": ""2023-10-26""}, ""lastUpdatePostDateStruct"": {""date"": ""2024-01-10""}}, ""conditionsModule"": {""conditions"": [""Heart Failure With Preserved Ejection Fraction"", ""Type 2 Diabetes Mellitus""]}, ""designModule"": {""studyType"": ""INTERVENTIONAL""}, ""oversightModule"": {""whyStopped"": ""Enrollment slower than projected; sponsor decision.""}}}"
NCT06640582,TIL Therapy Combined With Pembrolizumab for Advanced Brain Cancer Including Gliomas and Meningiomas,Efficacy and Safety of Autologous Tumor-Infiltrating Lymphocytes (TIL) Therapy Combined With Pembrolizumab Immunotherapy in Patients With Advanced Brain Cancer Including Gliomas and Meningiomas,RECRUITING,INTERVENTIONAL,"Brain Tumor; Brain Metastases; Brain Cancer; Glioma; Gliomas, Malignant; Glioblastoma; Meningioma",full,2026-08-05T08:34:12Z,"{""format"": ""ctgov_v2_json"", ""nctId"": ""NCT06640582"", ""retrievedAt"": ""2026-08-05T08:34:12Z"", ""query"": ""heart+failure+AND+dapagliflozin&aggFilters=status:recruiting"", ""protocolSection"": {""identificationModule"": {""nctId"": ""NCT06640582"", ""briefTitle"": ""TIL Therapy Combined With Pembrolizumab for Advanced Brain Cancer Including Gliomas and Meningiomas"", ""officialTitle"": ""Efficacy and Safety of Autologous Tumor-Infiltrating Lymphocytes (TIL) Therapy Combined With Pembrolizumab Immunotherapy in Patients With Advanced Brain Cancer Including Gliomas and Meningiomas""}, ""conditionsModule"": {""conditions"": [""Brain Tumor"", ""Brain Metastases"", ""Brain Cancer"", ""Glioma"", ""Gliomas, Malignant"", ""Glioblastoma"", ""Meningioma""]}, ""statusModule"": {""overallStatus"": ""RECRUITING""}}}"
NCT04922723,Radiation/Temozolomide and Immunotherapy With Daratumumab to Improve Antitumor Efficacy in Glioblastoma,A Study of Radiation/Temozolomide and Immunotherapy With Daratumumab to Improve Antitumor Efficacy in Glioblastoma (PRIDE).,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,Glioblastoma,full,2026-08-05T08:34:12Z,"{""format"": ""ctgov_v2_json"", ""nctId"": ""NCT04922723"", ""retrievedAt"": ""2026-08-05T08:34:12Z"", ""query"": ""heart+failure+AND+dapagliflozin&aggFilters=status:recruiting"", ""protocolSection"": {""identificationModule"": {""nctId"": ""NCT04922723"", ""briefTitle"": ""Radiation/Temozolomide and Immunotherapy With Daratumumab to Improve Antitumor Efficacy in Glioblastoma"", ""officialTitle"": ""A Study of Radiation/Temozolomide and Immunotherapy With Daratumumab to Improve Antitumor Efficacy in Glioblastoma (PRIDE).""}, ""conditionsModule"": {""conditions"": [""Glioblastoma""]}, ""statusModule"": {""overallStatus"": ""ACTIVE_NOT_RECRUITING""}}}"
NCT04729959,"Testing the Addition of the Immune Therapy Drugs, Tocilizumab and Atezolizumab, to Radiation Therapy for Recurrent Glioblastoma","A Safety Run-In and Phase II Study Evaluating the Efficacy, Safety, and Impact on the Tumor Microenvironment of the Combination of Tocilizumab, Atezolizumab, and Fractionated Stereotactic Radiotherapy in Recurrent Glioblastoma",ACTIVE_NOT_RECRUITING,INTERVENTIONAL,"Diffuse Astrocytoma, IDH-Wildtype; Recurrent Glioblastoma",full,2026-08-05T08:34:12Z,"{""format"": ""ctgov_v2_json"", ""nctId"": ""NCT04729959"", ""retrievedAt"": ""2026-08-05T08:34:12Z"", ""query"": ""heart+failure+AND+dapagliflozin&aggFilters=status:recruiting"", ""protocolSection"": {""identificationModule"": {""nctId"": ""NCT04729959"", ""briefTitle"": ""Testing the Addition of the Immune Therapy Drugs, Tocilizumab and Atezolizumab, to Radiation Therapy for Recurrent Glioblastoma"", ""officialTitle"": ""A Safety Run-In and Phase II Study Evaluating the Efficacy, Safety, and Impact on the Tumor Microenvironment of the Combination of Tocilizumab, Atezolizumab, and Fractionated Stereotactic Radiotherapy in Recurrent Glioblastoma""}, ""conditionsModule"": {""conditions"": [""Diffuse Astrocytoma, IDH-Wildtype"", ""Recurrent Glioblastoma""]}, ""statusModule"": {""overallStatus"": ""ACTIVE_NOT_RECRUITING""}}}"
NCT06047379,"Safety and Efficacy of NEO212 in Patients With Astrocytoma IDH-mutant, Glioblastoma IDH-wildtype or Brain Metastasis","An Open-label Phase 1/2 Dose Finding, Safety and Efficacy Study of Oral NEO212 in Patients With Astrocytoma IDH-mutant, Glioblastoma IDH-wildtype or Uncontrolled Brain Metastasis in Patients With Select Solid Tumors.",RECRUITING,INTERVENTIONAL,"Diffuse Astrocytoma, IDH-Mutant; Glioblastoma, IDH-wildtype; Brain Metastases, Adult; Cervical Cancer; Colorectal Cancer; Esophageal Cancer; Esophageal Squamous Cell Carcinoma; Gastric Cancer; Gastroesophageal Junction Adenocarcinoma; Head and Neck Squamous Cell Carcinoma; Melanoma; Merkel Cell Carcinoma; Microsatellite Instability-High Solid Malignant Tumor; Mismatch Repair Deficient Solid Malignant Tumor; Microsatellite Instability-High Colorectal Cancer; Mismatch Repair Deficient Colorectal Cancer; Non-small Cell Lung Cancer; Renal Cell Carcinoma; Small Cell Lung Cancer; Squamous Cell Carcinoma; Urothelial Carcinoma",full,2026-08-05T08:34:12Z,"{""format"": ""ctgov_v2_json"", ""nctId"": ""NCT06047379"", ""retrievedAt"": ""2026-08-05T08:34:12Z"", ""query"": ""heart+failure+AND+dapagliflozin&aggFilters=status:recruiting"", ""protocolSection"": {""identificationModule"": {""nctId"": ""NCT06047379"", ""briefTitle"": ""Safety and Efficacy of NEO212 in Patients With Astrocytoma IDH-mutant, Glioblastoma IDH-wildtype or Brain Metastasis"", ""officialTitle"": ""An Open-label Phase 1/2 Dose Finding, Safety and Efficacy Study of Oral NEO212 in Patients With Astrocytoma IDH-mutant, Glioblastoma IDH-wildtype or Uncontrolled Brain Metastasis in Patients With Select Solid Tumors.""}, ""conditionsModule"": {""conditions"": [""Diffuse Astrocytoma, IDH-Mutant"", ""Glioblastoma, IDH-wildtype"", ""Brain Metastases, Adult"", ""Cervical Cancer"", ""Colorectal Cancer"", ""Esophageal Cancer"", ""Esophageal Squamous Cell Carcinoma"", ""Gastric Cancer"", ""Gastroesophageal Junction Adenocarcinoma"", ""Head and Neck Squamous Cell Carcinoma"", ""Melanoma"", ""Merkel Cell Carcinoma"", ""Microsatellite Instability-High Solid Malignant Tumor"", ""Mismatch Repair Deficient Solid Malignant Tumor"", ""Microsatellite Instability-High Colorectal Cancer"", ""Mismatch Repair Deficient Colorectal Cancer"", ""Non-small Cell Lung Cancer"", ""Renal Cell Carcinoma"", ""Small Cell Lung Cancer"", ""Squamous Cell Carcinoma"", ""Urothelial Carcinoma""]}, ""statusModule"": {""overallStatus"": ""RECRUITING""}}}"
NCT07347210,Evaluation of UCPVax Vaccine +/- Pembrolizumab Combined With Standard Treatment as Adjuvant Therapy in Patients With Unmethylated MGMT Glioblastoma,Evaluation of UCPVax Vaccine +/- Pembrolizumab Combined With Standard Treatment as Adjuvant Therapy in Patients With Unmethylated MGMT Glioblastoma: a Randomized Phase II Trial,NOT_YET_RECRUITING,INTERVENTIONAL,Primary Glioblastoma,full,2026-08-05T08:34:12Z,"{""format"": ""ctgov_v2_json"", ""nctId"": ""NCT07347210"", ""retrievedAt"": ""2026-08-05T08:34:12Z"", ""query"": ""heart+failure+AND+dapagliflozin&aggFilters=status:recruiting"", ""protocolSection"": {""identificationModule"": {""nctId"": ""NCT07347210"", ""briefTitle"": ""Evaluation of UCPVax Vaccine +/- Pembrolizumab Combined With Standard Treatment as Adjuvant Therapy in Patients With Unmethylated MGMT Glioblastoma"", ""officialTitle"": ""Evaluation of UCPVax Vaccine +/- Pembrolizumab Combined With Standard Treatment as Adjuvant Therapy in Patients With Unmethylated MGMT Glioblastoma: a Randomized Phase II Trial""}, ""conditionsModule"": {""conditions"": [""Primary Glioblastoma""]}, ""statusModule"": {""overallStatus"": ""NOT_YET_RECRUITING""}}}"
NCT07620548,Laser Interstitial Thermal Therapy (LiTT) With Cemiplimab or Other Chemotherapy in Recurrent Glioblastomas,A Randomized Phase II Study of the Efficacy of Laser Interstitial Thermal Therapy (LiTT) Combined With Cemiplimab Versus Physician's Choice Chemotherapy in Recurrent Glioblastomas,NOT_YET_RECRUITING,INTERVENTIONAL,"Glioblastoma; Glioblastoma, IDH-wildtype; Glioblastoma IDH (Isocitrate Dehydrogenase) Wildtype",full,2026-08-05T08:34:12Z,"{""format"": ""ctgov_v2_json"", ""nctId"": ""NCT07620548"", ""retrievedAt"": ""2026-08-05T08:34:12Z"", ""query"": ""heart+failure+AND+dapagliflozin&aggFilters=status:recruiting"", ""protocolSection"": {""identificationModule"": {""nctId"": ""NCT07620548"", ""briefTitle"": ""Laser Interstitial Thermal Therapy (LiTT) With Cemiplimab or Other Chemotherapy in Recurrent Glioblastomas"", ""officialTitle"": ""A Randomized Phase II Study of the Efficacy of Laser Interstitial Thermal Therapy (LiTT) Combined With Cemiplimab Versus Physician's Choice Chemotherapy in Recurrent Glioblastomas""}, ""conditionsModule"": {""conditions"": [""Glioblastoma"", ""Glioblastoma, IDH-wildtype"", ""Glioblastoma IDH (Isocitrate Dehydrogenase) Wildtype""]}, ""statusModule"": {""overallStatus"": ""NOT_YET_RECRUITING""}}}"
NCT04015778,A Exploratory Study of Nivolumab Monotherapy or in Combination With Nab-paclitaxel and Carboplatin in Early Stage NSCLC in China,A Exploratory Study of Nivolumab Monotherapy or in Combination With Nab-paclitaxel and Carboplatin in Early Stage NSCLC in China,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,Non Small Cell Lung Cancer,full,2026-08-05T08:34:12Z,"{""format"": ""ctgov_v2_json"", ""nctId"": ""NCT04015778"", ""retrievedAt"": ""2026-08-05T08:34:12Z"", ""query"": ""heart+failure+AND+dapagliflozin&aggFilters=status:recruiting"", ""protocolSection"": {""identificationModule"": {""nctId"": ""NCT04015778"", ""briefTitle"": ""A Exploratory Study of Nivolumab Monotherapy or in Combination With Nab-paclitaxel and Carboplatin in Early Stage NSCLC in China"", ""officialTitle"": ""A Exploratory Study of Nivolumab Monotherapy or in Combination With Nab-paclitaxel and Carboplatin in Early Stage NSCLC in China""}, ""conditionsModule"": {""conditions"": [""Non Small Cell Lung Cancer""]}, ""statusModule"": {""overallStatus"": ""ACTIVE_NOT_RECRUITING""}}}"
NCT06157541,T Cells and Pembrolizumab for Recurrent and Newly Diagnosed Glioblastoma,Phase I/II Clinical Trial of Allogeneic Cytomegalovirus-specific T Cells in Combination With Pembrolizumab for Recurrent and Newly Diagnosed Glioblastoma Multiforme,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,"Glioblastoma Multiforme; Astrocytoma, Grade IV",full,2026-08-05T08:34:12Z,"{""format"": ""ctgov_v2_json"", ""nctId"": ""NCT06157541"", ""retrievedAt"": ""2026-08-05T08:34:12Z"", ""query"": ""heart+failure+AND+dapagliflozin&aggFilters=status:recruiting"", ""protocolSection"": {""identificationModule"": {""nctId"": ""NCT06157541"", ""briefTitle"": ""T Cells and Pembrolizumab for Recurrent and Newly Diagnosed Glioblastoma"", ""officialTitle"": ""Phase I/II Clinical Trial of Allogeneic Cytomegalovirus-specific T Cells in Combination With Pembrolizumab for Recurrent and Newly Diagnosed Glioblastoma Multiforme""}, ""conditionsModule"": {""conditions"": [""Glioblastoma Multiforme"", ""Astrocytoma, Grade IV""]}, ""statusModule"": {""overallStatus"": ""ACTIVE_NOT_RECRUITING""}}}"
NCT06749925,Clinical Trial Assessing the Efficacy and Safety of Dendritic Cell-Based Immunotherapy for Glioblastoma,"Phase III Randomized, Double-Blind, Placebo-Controlled Clinical Trial Assessing the Efficacy and Safety of Dendritic Cell-Based Immunotherapy for Glioblastoma",NOT_YET_RECRUITING,INTERVENTIONAL,Glioblastoma,full,2026-08-05T08:34:12Z,"{""format"": ""ctgov_v2_json"", ""nctId"": ""NCT06749925"", ""retrievedAt"": ""2026-08-05T08:34:12Z"", ""query"": ""heart+failure+AND+dapagliflozin&aggFilters=status:recruiting"", ""protocolSection"": {""identificationModule"": {""nctId"": ""NCT06749925"", ""briefTitle"": ""Clinical Trial Assessing the Efficacy and Safety of Dendritic Cell-Based Immunotherapy for Glioblastoma"", ""officialTitle"": ""Phase III Randomized, Double-Blind, Placebo-Controlled Clinical Trial Assessing the Efficacy and Safety of Dendritic Cell-Based Immunotherapy for Glioblastoma""}, ""conditionsModule"": {""conditions"": [""Glioblastoma""]}, ""statusModule"": {""overallStatus"": ""NOT_YET_RECRUITING""}}}"
