product_id,name,category,price,stock
p-1,Wireless Mouse,peripherals,24.99,340
p-2,Mechanical Keyboard,peripherals,89.00,120
p-3,27in Monitor,displays,219.50,45
p-4,USB-C Hub,accessories,39.99,210
p-5,Laptop Stand,accessories,54.99,180
p-6,Webcam 1080p,peripherals,69.99,95
p-7,Noise-cancelling Headset,audio,149.99,60
p-8,Desk Lamp,accessories,34.50,300
p-9,External SSD 1TB,storage,129.00,75
p-10,HDMI Cable 2m,accessories,12.99,500
p-11,Wireless Charger,accessories,29.99,220
p-12,Bluetooth Speaker,audio,79.99,140
p-13,4K Monitor 32in,displays,399.00,30
p-14,Ergonomic Chair,furniture,449.00,18
p-15,Standing Desk,furniture,599.00,22
p-16,Docking Station,peripherals,179.99,55
p-17,Mechanical Numpad,peripherals,44.99,90
p-18,MicroSD 256GB,storage,28.99,260
p-19,Surge Protector,accessories,19.99,320
p-20,Gaming Mousepad,accessories,16.99,400
