InvoiceNo,TotalAmount
536365,139.12
536366,22.200000000000003
536367,278.73
536368,70.05000000000001
536369,17.85
536370,855.86
536371,204.0
536372,22.200000000000003
536373,259.86
536374,350.4
536375,259.86
536376,328.8
536377,22.200000000000003
536378,444.98
536380,34.8
536381,449.9800000000001
536382,430.59999999999997
536384,489.6
536385,130.85
536386,508.20000000000005
536387,3193.92
536388,226.14
536389,358.25
536390,1825.74
536392,318.14000000000004
536393,79.6
536394,1024.6800000000003
536395,507.88000000000005
536396,376.36
536397,279.0
536398,426.56000000000006
536399,22.200000000000003
536400,17.4
536401,354.22999999999996
536402,357.0
536403,192.60000000000002
536404,471.30000000000007
536405,326.4
536406,353.14
536407,22.200000000000003
536408,783.1099999999999
536409,243.27999999999997
536412,514.41
536414,0.0
536415,390.78999999999996
536416,225.7
536420,233.45000000000002
536423,303.90000000000003
536425,362.44999999999993
536437,842.12
536446,440.89
536460,295.53999999999996
536463,17.4
536464,277.35
536466,42.9
536477,2474.7399999999993
536488,165.88999999999996
536500,223.89999999999998
536502,95.29
536508,155.52
536514,295.50000000000006
536520,313.49000000000007
536521,4.95
536522,191.05999999999997
536523,203.29999999999998
536524,70.80000000000001
536525,136.24
536526,301.24
536527,261.48
536528,313.93
536529,161.00000000000003
536530,201.74999999999994
536531,950.0899999999999
536532,1919.1399999999999
536533,156.09999999999997
536534,115.65
536535,194.85000000000002
536536,165.04999999999998
536537,369.50000000000006
536538,254.99999999999997
536539,487.75
536540,540.3799999999999
536541,15.0
536542,787.4
536544,5521.139999999999
536545,0.0
536546,0.0
536547,0.0
536549,0.0
536550,0.0
536551,146.60999999999999
536552,0.0
536553,0.0
536554,0.0
536555,2.9699999999999998
536556,101.55
536557,537.3800000000001
536558,99.75
536559,215.14999999999998
536560,799.4
536561,322.4
536562,308.65000000000003
536563,172.54
536564,51.4
536565,6.7
536566,116.25
536567,251.40000000000003
536568,5.04
536569,357.94999999999993
536570,304.34000000000003
536571,294.61999999999995
536572,442.35
536573,143.12
536574,17.85
536575,1552.98
536576,2558.42
536577,497.0
536578,279.6
536579,315.96000000000004
536580,97.2
536581,330.0
536582,304.03999999999996
536583,198.0
536584,1132.8000000000002
536585,19.9
536586,344.2
536587,311.81
536588,277.05
536589,0.0
536590,205.85999999999999
536591,198.32
536592,6915.65
536593,81.75
536594,79.5
536595,349.15
536596,38.09
536597,102.79
536598,160.6
536599,306.4
536600,251.62
536601,22.200000000000003
536602,163.76000000000002
536603,22.200000000000003
536604,184.5
536605,272.65
536607,303.96999999999997
536608,38.1
536609,244.45999999999998
536610,22.200000000000003
536611,259.65
536612,206.76000000000002
536613,208.97
536614,22.200000000000003
536615,286.92
536616,244.08
536617,1095.12
536618,780.12
536619,97.19999999999999
536620,485.25
536621,350.05999999999995
536623,768.3800000000001
536624,610.64
536626,12.600000000000001
536627,306.2
536628,230.55999999999997
536629,22.200000000000003
536630,244.45999999999998
536631,22.200000000000003
536632,312.79999999999995
536633,204.15
536634,193.78
536635,572.38
536636,106.2
536637,235.15999999999997
536638,1056.6299999999999
536639,288.5
536640,45.85
536641,4.25
536643,223.7
536663,299.40000000000003
536667,362.5
536670,58.0
536671,136.2
536672,127.2
536673,339.84
536674,127.08000000000001
536676,207.5
536681,113.91999999999999
536685,380.46000000000004
536688,22.200000000000003
536690,331.26
536693,22.200000000000003
536698,326.0
536707,199.64999999999998
536732,354.53999999999996
536733,329.65000000000003
536735,211.2
536736,824.88
536738,98.18000000000002
536739,201.75
536740,92.75000000000001
536741,202.11999999999998
536742,198.07999999999998
536743,261.76
536744,379.74999999999994
536745,341.9
536746,248.10000000000002
536747,100.19999999999999
536748,116.0
536749,353.19000000000005
536750,434.8
536751,22.200000000000003
536752,390.65999999999997
536753,22.200000000000003
536754,210.24
536755,54.25
536756,66.64999999999999
536759,311.25
536761,98.9
536762,307.68000000000006
536763,452.52
536764,0.0
536765,0.0
536769,668.4
536771,118.38
536777,138.1
536778,193.23000000000002
536779,15.0
536780,12.8
536781,50.400000000000006
536782,517.9499999999999
536783,4076.48
536784,2170.9
536785,2730.96
536786,324.0
536787,192.46
536788,75.0
536789,22.200000000000003
536790,532.01
536791,44.400000000000006
536792,30.0
536793,170.7
536794,322.79999999999995
536795,333.7199999999999
536796,375.65
536797,130.8
536798,717.1600000000002
536799,183.3
536800,236.96999999999997
536801,252.30000000000004
536802,197.3
536803,22.5
536804,1714.25
536805,406.55999999999995
536806,45.120000000000005
536808,247.8
536809,1003.2
536810,303.96
536811,527.85
536813,189.8
536819,308.28
536821,143.45
536823,50.550000000000004
536824,408.0
536830,2002.4
536831,569.4
536832,164.8
536833,438.09999999999997
536834,35.400000000000006
536835,295.0
536836,263.29999999999995
536837,308.67999999999995
536838,37.2
536839,623.73
536840,155.35
536841,393.41999999999996
536842,263.62
536843,34.9
536844,189.3
536845,127.55000000000001
536846,413.09999999999997
536847,215.58
536848,534.0
536849,397.5
536851,1368.4
536852,89.14
536856,754.8700000000001
536857,128.02999999999997
536858,303.4
536859,294.25
536860,254.39999999999998
536861,303.5
536862,1334.1299999999999
536863,123.07
536864,636.6800000000001
536865,2396.96
536866,8.47
536874,232.26
536876,7257.08
536883,5.46
536884,39.75
536885,549.0000000000001
536890,322.2
536920,69.3
536938,1680.8799999999999
536941,0.0
536942,0.0
536943,187.51000000000002
536944,620.0
