run_id,project_name,display_name,state,created_at,accuracy,loss,learning_rate,batch_size,epochs,user_id
d4v30t9n,image-classification,image-classification_run_1,finished,2026-02-04T12:36:55.271639Z,0.9453,0.7871,0.0005,16,5,U0004
1945nq4f,image-classification,image-classification_run_2,finished,2026-02-10T00:31:55.271639Z,0.9653,1.3313,0.0005,32,10,U0008
n9xuy41i,image-classification,image-classification_run_3,finished,2026-02-20T20:58:55.271639Z,0.6258,1.835,0.001,32,50,U0007
5xff0t0p,image-classification,image-classification_run_4,finished,2026-02-20T02:07:55.271639Z,0.7987,0.2727,0.0001,16,10,U0003
2pcn9t84,image-classification,image-classification_run_5,finished,2026-02-08T05:32:55.271639Z,0.9451,1.5267,0.001,16,20,U0007
fazz81sd,image-classification,image-classification_run_6,finished,2026-02-04T12:43:55.271639Z,0.8375,0.3904,0.0005,16,20,U0008
a753lc58,image-classification,image-classification_run_7,finished,2026-02-16T06:27:55.271639Z,0.8078,0.3389,0.005,32,20,U0009
5pht0hl9,image-classification,image-classification_run_8,finished,2026-02-16T16:47:55.271639Z,0.6472,0.5269,0.001,16,10,U0010
hcwi64ci,image-classification,image-classification_run_9,finished,2026-02-24T16:07:55.271639Z,0.8821,1.7765,0.005,32,50,U0007
gdppq0y9,image-classification,image-classification_run_10,finished,2026-02-18T09:54:55.271639Z,0.9122,0.3076,0.0005,32,50,U0003
pki7p5tb,image-classification,image-classification_run_11,failed,2026-02-05T09:10:55.271639Z,0.9613,1.7125,0.0005,128,50,U0008
hocn9j2q,image-classification,image-classification_run_12,finished,2026-01-31T09:25:55.271639Z,0.8167,1.465,0.0005,32,20,U0004
8ut0cvs4,image-classification,image-classification_run_13,finished,2026-01-31T17:10:55.271639Z,0.932,0.2302,0.0001,32,50,U0002
7uubcxul,image-classification,image-classification_run_14,finished,2026-02-09T10:55:55.271639Z,0.6931,0.852,0.001,128,20,U0002
awudtsem,image-classification,image-classification_run_15,finished,2026-02-23T21:57:55.271639Z,0.6615,1.6841,0.001,16,20,U0002
7eedtjvz,image-classification,image-classification_run_16,finished,2026-02-11T00:43:55.271639Z,0.7905,1.8201,0.0001,16,50,U0005
bme9fpzu,image-classification,image-classification_run_17,finished,2026-01-31T10:18:55.271639Z,0.6581,0.1685,0.001,32,50,U0003
bn78bmyy,image-classification,image-classification_run_18,finished,2026-02-13T19:36:55.271639Z,0.8923,1.859,0.0005,32,10,U0007
a0l7253j,image-classification,image-classification_run_19,running,2026-02-27T20:20:55.271639Z,0.6151,0.9943,0.0005,128,20,U0005
35ixokc1,image-classification,image-classification_run_20,finished,2026-02-14T20:32:55.271639Z,0.9826,1.1188,0.0001,16,20,U0003
u9bvm2p9,nlp-sentiment,nlp-sentiment_run_1,finished,2026-02-02T15:03:55.271639Z,0.6993,1.4467,0.0001,32,20,U0007
cxll4zkl,nlp-sentiment,nlp-sentiment_run_2,finished,2026-02-18T10:57:55.271639Z,0.8162,0.4645,0.005,32,20,U0007
takpuxqp,nlp-sentiment,nlp-sentiment_run_3,finished,2026-02-15T10:05:55.271639Z,0.857,0.6392,0.001,16,10,U0005
ihair4co,nlp-sentiment,nlp-sentiment_run_4,finished,2026-02-24T10:31:55.271639Z,0.7498,0.8593,0.0005,16,5,U0007
h2zqu7ee,nlp-sentiment,nlp-sentiment_run_5,finished,2026-02-14T15:37:55.271639Z,0.7237,1.535,0.005,128,50,U0003
0rjiw1sw,nlp-sentiment,nlp-sentiment_run_6,finished,2026-02-28T10:57:55.271639Z,0.6915,0.7381,0.0001,32,10,U0004
nfholqc3,nlp-sentiment,nlp-sentiment_run_7,finished,2026-02-06T14:31:55.271639Z,0.6076,1.7732,0.005,128,5,U0006
ko64t026,nlp-sentiment,nlp-sentiment_run_8,finished,2026-02-22T19:44:55.271639Z,0.6113,0.7386,0.005,32,50,U0003
9t6vxdp5,nlp-sentiment,nlp-sentiment_run_9,finished,2026-02-22T20:55:55.271639Z,0.6825,0.721,0.005,64,50,U0005
4q0b8ic8,nlp-sentiment,nlp-sentiment_run_10,finished,2026-03-03T02:03:55.271639Z,0.9273,1.2805,0.0005,32,50,U0002
uhz1gv0e,nlp-sentiment,nlp-sentiment_run_11,running,2026-02-01T00:09:55.271639Z,0.8257,1.8649,0.005,128,10,U0002
v3izky22,nlp-sentiment,nlp-sentiment_run_12,finished,2026-03-01T21:41:55.271639Z,0.7671,0.8041,0.001,16,50,U0008
d8w3zp08,nlp-sentiment,nlp-sentiment_run_13,finished,2026-02-05T15:26:55.271639Z,0.7886,0.9276,0.001,64,10,U0002
kq1uymrl,nlp-sentiment,nlp-sentiment_run_14,finished,2026-02-20T00:54:55.271639Z,0.7091,1.2327,0.001,16,10,U0002
iotirzqa,nlp-sentiment,nlp-sentiment_run_15,finished,2026-02-18T11:00:55.271639Z,0.7194,1.205,0.005,64,50,U0009
lzjjeget,nlp-sentiment,nlp-sentiment_run_16,running,2026-02-26T03:02:55.271639Z,0.8881,0.6253,0.001,16,10,U0005
igatj9tz,nlp-sentiment,nlp-sentiment_run_17,finished,2026-02-03T18:09:55.271639Z,0.9404,1.1907,0.005,128,50,U0006
gb7r3ocw,nlp-sentiment,nlp-sentiment_run_18,finished,2026-02-26T14:56:55.271639Z,0.6332,0.5716,0.005,32,50,U0008
6kvpuc8d,nlp-sentiment,nlp-sentiment_run_19,running,2026-02-11T02:59:55.271639Z,0.8576,0.3984,0.0005,16,10,U0001
oyqbkk4c,nlp-sentiment,nlp-sentiment_run_20,finished,2026-02-22T12:38:55.271639Z,0.8579,1.874,0.005,16,10,U0003
63cfl0uk,reinforcement-learning,reinforcement-learning_run_1,finished,2026-02-08T23:31:55.271639Z,0.757,0.6173,0.005,128,5,U0010
bpljd84u,reinforcement-learning,reinforcement-learning_run_2,failed,2026-02-06T11:23:55.271639Z,0.7051,0.1764,0.0005,128,50,U0005
gvwrdmly,reinforcement-learning,reinforcement-learning_run_3,running,2026-02-20T19:31:55.271639Z,0.7932,1.3589,0.005,16,50,U0002
ll8os9xt,reinforcement-learning,reinforcement-learning_run_4,finished,2026-02-24T16:52:55.271639Z,0.8428,1.0471,0.005,16,10,U0005
t7pze9vi,reinforcement-learning,reinforcement-learning_run_5,finished,2026-02-14T08:40:55.271639Z,0.7591,0.5269,0.0001,128,5,U0003
rzsj49it,reinforcement-learning,reinforcement-learning_run_6,finished,2026-02-01T13:43:55.271639Z,0.8911,0.3594,0.0001,64,50,U0006
7s3kkv9r,reinforcement-learning,reinforcement-learning_run_7,finished,2026-02-13T17:53:55.271639Z,0.7297,1.5495,0.005,128,20,U0004
9in4olr6,reinforcement-learning,reinforcement-learning_run_8,finished,2026-02-09T13:06:55.271639Z,0.7932,0.1703,0.001,16,50,U0002
sq0oxfq8,reinforcement-learning,reinforcement-learning_run_9,finished,2026-02-08T20:34:55.271639Z,0.6313,0.7243,0.005,64,50,U0009
bcw790pd,reinforcement-learning,reinforcement-learning_run_10,finished,2026-02-04T05:47:55.271639Z,0.6649,0.669,0.0001,16,20,U0001
knftu2gc,reinforcement-learning,reinforcement-learning_run_11,running,2026-02-11T12:00:55.271639Z,0.7941,1.208,0.0005,128,20,U0008
ja26yfpm,reinforcement-learning,reinforcement-learning_run_12,finished,2026-02-10T19:31:55.271639Z,0.6975,1.7061,0.0005,128,50,U0002
iuu9k9xj,reinforcement-learning,reinforcement-learning_run_13,finished,2026-02-09T10:12:55.271639Z,0.9551,1.5158,0.001,32,20,U0004
wwyzx4w6,reinforcement-learning,reinforcement-learning_run_14,finished,2026-02-21T19:13:55.271639Z,0.826,1.4915,0.0001,64,20,U0007
get8t63j,reinforcement-learning,reinforcement-learning_run_15,running,2026-02-15T23:28:55.271639Z,0.9395,1.628,0.005,16,10,U0004
40982n2a,reinforcement-learning,reinforcement-learning_run_16,finished,2026-02-16T21:32:55.271639Z,0.8921,0.5981,0.005,64,5,U0004
qw7lvxwq,reinforcement-learning,reinforcement-learning_run_17,running,2026-02-10T20:08:55.271639Z,0.6545,1.8979,0.001,128,5,U0002
itnn8ztv,reinforcement-learning,reinforcement-learning_run_18,running,2026-02-02T19:34:55.271639Z,0.6386,1.0298,0.005,64,5,U0006
hqin9n6x,reinforcement-learning,reinforcement-learning_run_19,finished,2026-02-23T03:08:55.271639Z,0.9701,1.666,0.0001,32,5,U0001
2ieuc1hh,reinforcement-learning,reinforcement-learning_run_20,running,2026-02-21T04:25:55.271639Z,0.9512,0.1054,0.0005,32,20,U0003
d5em2vaj,gan-experiments,gan-experiments_run_1,finished,2026-02-17T17:08:55.271639Z,0.8908,1.0049,0.001,16,50,U0009
hw06xkxb,gan-experiments,gan-experiments_run_2,failed,2026-02-03T20:48:55.271639Z,0.8676,1.0315,0.005,16,5,U0006
vcjwtl9t,gan-experiments,gan-experiments_run_3,finished,2026-02-11T20:09:55.271639Z,0.9093,0.3174,0.0005,128,50,U0004
o3o0llj8,gan-experiments,gan-experiments_run_4,finished,2026-02-16T07:10:55.271639Z,0.9244,0.2771,0.0001,64,10,U0009
c8uyo57p,gan-experiments,gan-experiments_run_5,failed,2026-03-01T23:37:55.271639Z,0.7219,0.2968,0.0005,32,50,U0004
4muekipu,gan-experiments,gan-experiments_run_6,running,2026-02-11T13:32:55.271639Z,0.8507,0.1499,0.001,16,10,U0005
zlma5uof,gan-experiments,gan-experiments_run_7,finished,2026-03-03T06:28:55.271639Z,0.8069,0.8148,0.005,64,10,U0006
ll7v5f1b,gan-experiments,gan-experiments_run_8,finished,2026-02-16T11:48:55.271639Z,0.7894,0.9399,0.001,32,5,U0006
pkyrybov,gan-experiments,gan-experiments_run_9,finished,2026-02-22T02:26:55.271639Z,0.6535,0.5855,0.001,16,5,U0008
0gnzs43c,gan-experiments,gan-experiments_run_10,running,2026-03-01T20:14:55.271639Z,0.7793,0.2479,0.001,128,50,U0007
ko8g8qyn,gan-experiments,gan-experiments_run_11,finished,2026-02-28T01:48:55.271639Z,0.8297,1.0955,0.005,64,20,U0004
lgses6m0,gan-experiments,gan-experiments_run_12,running,2026-02-05T05:00:55.271639Z,0.6401,0.5863,0.0005,32,5,U0003
8wquuy5x,gan-experiments,gan-experiments_run_13,failed,2026-02-20T12:55:55.271639Z,0.6589,0.2297,0.005,64,20,U0010
