lot,defect_rate,status
lot-240301,1.1,ok
lot-240302,4.2,escalated
lot-240303,0.8,ok
lot-240304,2.5,review
lot-240305,5.6,escalated
lot-240306,1.9,ok
lot-240307,3.3,review
lot-240308,0.5,ok
lot-240309,7.1,escalated
lot-240310,1.4,ok
lot-240311,2.8,review
lot-240312,0.9,ok
lot-240313,6.4,escalated
lot-240314,1.7,ok
lot-240315,3.0,review
lot-240316,1.2,ok
lot-240317,4.8,escalated
lot-240318,0.7,ok
lot-240319,2.2,review
lot-240320,1.0,ok
lot-240321,0.6,ok
lot-240322,1.5,ok
lot-240323,2.6,review
lot-240324,0.9,ok
lot-240325,1.3,ok
