sku,description,qty_on_hand,reorder_pt,uom,location,supplier,last_count
FK-200,M8 flange bolt kit,14200,10000,pc,WH-A R3,Apex,2024-03-22
FK-201,M10 flange bolt kit,8400,8000,pc,WH-A R3,Apex,2024-03-22
FK-202,M12 flange bolt kit,6100,6000,pc,WH-A R4,Apex,2024-03-22
AL-6061,Aluminum 6061 bar,320,200,kg,WH-B R1,Harbor,2024-03-26
GS-7,Gauge set GS-7,0,1,set,Cal Lab,Internal,2024-03-25
GS-9,Gauge set GS-9,1,1,set,Cal Lab,Internal,2024-03-22
PS-7,Press tonnage sensor,2,2,pc,MRO R2,PartsCo,2024-03-23
DIE-12,Die D-12,1,1,pc,Tool Room,Internal,2024-03-20
PK-01,Packaging carton L,5400,3000,pc,WH-C R1,BoxCo,2024-03-21
PK-02,Packaging carton M,2200,2500,pc,WH-C R1,BoxCo,2024-03-21
