txn_id,account_id,date,amount,currency,category,description
txn-1001,acct-003,2025-02-02,5142.31,USD,consulting,Consulting fee
txn-1002,acct-005,2025-01-03,-1163.33,USD,utilities,Electricity bill
txn-1003,acct-006,2025-01-04,-51477.93,EUR,payroll,Monthly payroll
txn-1004,acct-004,2025-02-05,-978.54,USD,fee,Bank fee
txn-1005,acct-002,2025-02-06,16305.99,USD,consulting,Consulting fee
txn-1006,acct-006,2025-03-07,-1530.76,EUR,hardware,Laptop purchase
txn-1007,acct-005,2025-03-08,-47.37,USD,fee,Bank fee
txn-1008,acct-008,2025-01-09,-47891.58,GBP,payroll,Monthly payroll
txn-1009,acct-007,2025-03-10,-833.82,USD,marketing,Ad campaign
txn-1010,acct-002,2025-01-11,-853.25,USD,hardware,Laptop purchase
txn-1011,acct-002,2025-01-12,-1190.96,USD,utilities,Electricity bill
txn-1012,acct-002,2025-01-13,-200.44,USD,software,SaaS subscription
txn-1013,acct-002,2025-02-14,23887.18,USD,consulting,Consulting fee
txn-1014,acct-002,2025-01-15,-1030.75,USD,fee,Bank fee
txn-1015,acct-008,2025-02-16,-837.14,GBP,travel,Flight to NYC
txn-1016,acct-002,2025-02-17,-952.54,USD,hardware,Laptop purchase
txn-1017,acct-006,2025-01-18,-2040.50,EUR,hardware,Laptop purchase
txn-1018,acct-005,2025-03-19,6674.32,USD,dividend,Dividend income
txn-1019,acct-004,2025-03-20,-812.87,USD,utilities,Electricity bill
txn-1020,acct-002,2025-03-21,-1013.11,USD,travel,Flight to NYC
txn-1021,acct-007,2025-03-22,-515.93,USD,utilities,Electricity bill
txn-1022,acct-001,2025-03-23,-109.01,USD,utilities,Electricity bill
txn-1023,acct-006,2025-02-24,-665.57,EUR,hosting,Cloud hosting
txn-1024,acct-003,2025-01-25,-1137.54,USD,fee,Bank fee
txn-1025,acct-001,2025-02-26,5633.43,USD,consulting,Consulting fee
txn-1026,acct-001,2025-03-27,-246.74,USD,refund,Customer refund
txn-1027,acct-004,2025-03-01,-1067.40,USD,utilities,Electricity bill
txn-1028,acct-003,2025-03-02,-1068.61,USD,refund,Customer refund
txn-1029,acct-008,2025-03-03,21105.85,GBP,dividend,Dividend income
txn-1030,acct-004,2025-02-04,-802.06,USD,hosting,Cloud hosting
txn-1031,acct-008,2025-03-05,-51626.50,GBP,payroll,Monthly payroll
txn-1032,acct-006,2025-02-06,-1147.40,EUR,office,Office supplies
txn-1033,acct-001,2025-01-07,-982.91,USD,fee,Bank fee
txn-1034,acct-008,2025-01-08,19376.56,GBP,interest,Monthly interest
txn-1035,acct-003,2025-02-09,6054.12,USD,dividend,Dividend income
txn-1036,acct-008,2025-01-10,-977.04,GBP,hosting,Cloud hosting
txn-1037,acct-006,2025-02-11,-414.48,EUR,refund,Customer refund
txn-1038,acct-001,2025-03-12,17998.14,USD,dividend,Dividend income
txn-1039,acct-008,2025-01-13,6121.31,GBP,dividend,Dividend income
txn-1040,acct-006,2025-02-14,-118.07,EUR,utilities,Electricity bill
txn-1041,acct-002,2025-02-15,-631.32,USD,software,SaaS subscription
txn-1042,acct-007,2025-01-16,-634.00,USD,refund,Customer refund
txn-1043,acct-005,2025-01-17,-951.76,USD,office,Office supplies
txn-1044,acct-005,2025-03-18,-1952.83,USD,hardware,Laptop purchase
txn-1045,acct-001,2025-01-19,-151.82,USD,travel,Flight to NYC
txn-1046,acct-008,2025-01-20,-594.98,GBP,software,SaaS subscription
txn-1047,acct-001,2025-01-21,-1082.21,USD,marketing,Ad campaign
txn-1048,acct-008,2025-02-22,5508.13,GBP,revenue,Client invoice
txn-1049,acct-001,2025-02-23,16080.30,USD,consulting,Consulting fee
txn-1050,acct-003,2025-03-24,-47804.38,USD,payroll,Monthly payroll
txn-1051,acct-003,2025-01-25,5697.79,USD,revenue,Client invoice
txn-1052,acct-002,2025-03-26,3014.36,USD,consulting,Consulting fee
txn-1053,acct-008,2025-01-27,-46954.21,GBP,payroll,Monthly payroll
txn-1054,acct-008,2025-01-01,5316.57,GBP,consulting,Consulting fee
txn-1055,acct-004,2025-02-02,-406.76,USD,hosting,Cloud hosting
txn-1056,acct-002,2025-01-03,-577.86,USD,marketing,Ad campaign
txn-1057,acct-002,2025-03-04,-958.16,USD,hosting,Cloud hosting
txn-1058,acct-001,2025-03-05,-2892.58,USD,hardware,Laptop purchase
txn-1059,acct-005,2025-02-06,-164.90,USD,fee,Bank fee
txn-1060,acct-008,2025-01-07,17096.81,GBP,interest,Monthly interest
txn-1061,acct-002,2025-03-08,-682.20,USD,office,Office supplies
txn-1062,acct-002,2025-01-09,-629.73,USD,software,SaaS subscription
txn-1063,acct-002,2025-03-10,-147.24,USD,fee,Bank fee
txn-1064,acct-006,2025-03-11,6070.17,EUR,consulting,Consulting fee
txn-1065,acct-008,2025-02-12,-313.05,GBP,fee,Bank fee
txn-1066,acct-007,2025-03-13,-3210.22,USD,hardware,Laptop purchase
txn-1067,acct-007,2025-03-14,22296.93,USD,consulting,Consulting fee
txn-1068,acct-008,2025-02-15,-666.98,GBP,fee,Bank fee
txn-1069,acct-002,2025-02-16,-2893.12,USD,hardware,Laptop purchase
txn-1070,acct-002,2025-02-17,-1068.26,USD,fee,Bank fee
txn-1071,acct-005,2025-03-18,15383.05,USD,interest,Monthly interest
txn-1072,acct-005,2025-03-19,-45684.39,USD,payroll,Monthly payroll
txn-1073,acct-001,2025-01-20,-492.60,USD,office,Office supplies
txn-1074,acct-006,2025-03-21,20181.84,EUR,dividend,Dividend income
txn-1075,acct-005,2025-01-22,-585.40,USD,hosting,Cloud hosting
txn-1076,acct-001,2025-02-23,-212.94,USD,travel,Flight to NYC
txn-1077,acct-007,2025-02-24,-47917.82,USD,payroll,Monthly payroll
txn-1078,acct-006,2025-01-25,-912.52,EUR,office,Office supplies
txn-1079,acct-006,2025-02-26,19330.94,EUR,consulting,Consulting fee
txn-1080,acct-005,2025-03-27,-676.39,USD,hosting,Cloud hosting
txn-1081,acct-007,2025-01-01,-156.00,USD,software,SaaS subscription
txn-1082,acct-006,2025-02-02,-406.00,EUR,office,Office supplies
txn-1083,acct-004,2025-01-03,4142.87,USD,interest,Monthly interest
txn-1084,acct-008,2025-01-04,-40601.99,GBP,payroll,Monthly payroll
txn-1085,acct-004,2025-01-05,-886.72,USD,utilities,Electricity bill
txn-1086,acct-001,2025-01-06,19795.25,USD,dividend,Dividend income
txn-1087,acct-006,2025-03-07,10647.25,EUR,dividend,Dividend income
txn-1088,acct-002,2025-02-08,-1037.95,USD,utilities,Electricity bill
txn-1089,acct-008,2025-02-09,21456.93,GBP,dividend,Dividend income
txn-1090,acct-005,2025-02-10,-121.92,USD,office,Office supplies
txn-1091,acct-008,2025-01-11,-854.58,GBP,hardware,Laptop purchase
txn-1092,acct-008,2025-01-12,-927.49,GBP,software,SaaS subscription
txn-1093,acct-005,2025-03-13,4221.54,USD,revenue,Client invoice
txn-1094,acct-008,2025-01-14,-627.23,GBP,office,Office supplies
txn-1095,acct-002,2025-02-15,-133.01,USD,office,Office supplies
txn-1096,acct-001,2025-02-16,21259.15,USD,consulting,Consulting fee
txn-1097,acct-006,2025-03-17,-266.11,EUR,utilities,Electricity bill
txn-1098,acct-008,2025-01-18,7898.43,GBP,interest,Monthly interest
txn-1099,acct-001,2025-02-19,-323.32,USD,software,SaaS subscription
txn-1100,acct-007,2025-03-20,-839.74,USD,refund,Customer refund
txn-1101,acct-005,2025-01-21,-326.15,USD,software,SaaS subscription
txn-1102,acct-004,2025-02-22,-56.28,USD,fee,Bank fee
txn-1103,acct-004,2025-01-23,12101.81,USD,consulting,Consulting fee
txn-1104,acct-006,2025-02-24,-467.37,EUR,utilities,Electricity bill
txn-1105,acct-003,2025-02-25,-785.01,USD,software,SaaS subscription
txn-1106,acct-004,2025-03-26,-43809.84,USD,payroll,Monthly payroll
txn-1107,acct-007,2025-01-27,11858.13,USD,revenue,Client invoice
txn-1108,acct-004,2025-03-01,-112.92,USD,software,SaaS subscription
txn-1109,acct-003,2025-02-02,18562.07,USD,dividend,Dividend income
txn-1110,acct-002,2025-03-03,17278.39,USD,consulting,Consulting fee
txn-1111,acct-007,2025-03-04,-1014.13,USD,software,SaaS subscription
txn-1112,acct-008,2025-03-05,-576.54,GBP,fee,Bank fee
txn-1113,acct-004,2025-03-06,-47061.44,USD,payroll,Monthly payroll
txn-1114,acct-003,2025-03-07,-621.76,USD,marketing,Ad campaign
txn-1115,acct-006,2025-03-08,-3208.69,EUR,hardware,Laptop purchase
txn-1116,acct-007,2025-02-09,7843.90,USD,dividend,Dividend income
txn-1117,acct-002,2025-01-10,-1481.34,USD,hardware,Laptop purchase
txn-1118,acct-004,2025-03-11,3315.13,USD,revenue,Client invoice
txn-1119,acct-002,2025-02-12,2161.58,USD,revenue,Client invoice
txn-1120,acct-005,2025-01-13,4780.33,USD,interest,Monthly interest
txn-1121,acct-007,2025-01-14,-712.04,USD,marketing,Ad campaign
txn-1122,acct-003,2025-02-15,-556.54,USD,refund,Customer refund
txn-1123,acct-003,2025-02-16,-333.74,USD,refund,Customer refund
txn-1124,acct-005,2025-01-17,14825.72,USD,revenue,Client invoice
txn-1125,acct-008,2025-01-18,23360.50,GBP,interest,Monthly interest
txn-1126,acct-001,2025-01-19,-891.10,USD,hosting,Cloud hosting
txn-1127,acct-004,2025-01-20,-984.00,USD,fee,Bank fee
txn-1128,acct-006,2025-03-21,-997.83,EUR,refund,Customer refund
txn-1129,acct-001,2025-01-22,14029.59,USD,interest,Monthly interest
txn-1130,acct-006,2025-03-23,16809.04,EUR,consulting,Consulting fee
txn-1131,acct-003,2025-01-24,-342.72,USD,software,SaaS subscription
txn-1132,acct-001,2025-01-25,-148.85,USD,fee,Bank fee
